,Alpha-3 code,URL
151,STP,https://www.worldometers.info//img/flags/small/tn_tp-flag.gif
152,SAU,https://www.worldometers.info//img/flags/small/tn_sa-flag.gif
153,SEN,https://www.worldometers.info//img/flags/small/tn_sg-flag.gif
154,SRB,https://www.worldometers.info//img/flags/small/tn_ri-flag.gif
155,SYC,https://www.worldometers.info//img/flags/small/tn_se-flag.gif
156,SLE,https://www.worldometers.info//img/flags/small/tn_sl-flag.gif
157,SGP,https://www.worldometers.info//img/flags/small/tn_sn-flag.gif
158,SVK,https://www.worldometers.info//img/flags/small/tn_lo-flag.gif
159,SVN,https://www.worldometers.info//img/flags/small/tn_si-flag.gif
160,SLB,https://www.worldometers.info//img/flags/small/tn_bp-flag.gif
161,SOM,https://www.worldometers.info//img/flags/small/tn_so-flag.gif
162,ZAF,https://www.worldometers.info//img/flags/small/tn_sf-flag.gif
163,SSD,https://www.worldometers.info//img/flags/small/tn_od-flag.gif
164,ESP,https://www.worldometers.info//img/flags/small/tn_sp-flag.gif
165,LKA,https://www.worldometers.info//img/flags/small/tn_ce-flag.gif
166,SDN,https://www.worldometers.info//img/flags/small/tn_su-flag.gif
167,SUR,https://www.worldometers.info//img/flags/small/tn_ns-flag.gif
168,SWE,https://www.worldometers.info//img/flags/small/tn_sw-flag.gif
169,CHE,https://www.worldometers.info//img/flags/small/tn_sz-flag.gif
170,SYR,https://www.worldometers.info//img/flags/small/tn_sy-flag.gif
171,TJK,https://www.worldometers.info//img/flags/small/tn_ti-flag.gif
172,TZA,https://www.worldometers.info//img/flags/small/tn_tz-flag.gif
173,THA,https://www.worldometers.info//img/flags/small/tn_th-flag.gif
174,TLS,https://www.worldometers.info//img/flags/small/tn_tt-flag.gif
175,TGO,https://www.worldometers.info//img/flags/small/tn_to-flag.gif
176,TON,https://www.worldometers.info//img/flags/small/tn_tn-flag.gif
177,TTO,https://www.worldometers.info//img/flags/small/tn_td-flag.gif
178,TUN,https://www.worldometers.info//img/flags/small/tn_ts-flag.gif
179,TUR,https://www.worldometers.info//img/flags/small/tn_tu-flag.gif
180,TKM,https://www.worldometers.info//img/flags/small/tn_tx-flag.gif
181,TUV,https://www.worldometers.info//img/flags/small/tn_tv-flag.gif
182,UGA,https://www.worldometers.info//img/flags/small/tn_ug-flag.gif
183,UKR,https://www.worldometers.info//img/flags/small/tn_up-flag.gif
184,ARE,https://www.worldometers.info//img/flags/small/tn_ae-flag.gif
185,GBR,https://www.worldometers.info//img/flags/small/tn_uk-flag.gif
186,USA,https://www.worldometers.info//img/flags/small/tn_us-flag.gif
187,URY,https://www.worldometers.info//img/flags/small/tn_uy-flag.gif
188,UZB,https://www.worldometers.info//img/flags/small/tn_uz-flag.gif
189,VUT,https://www.worldometers.info//img/flags/small/tn_nh-flag.gif
190,VEN,https://www.worldometers.info//img/flags/small/tn_ve-flag.gif
191,VNM,https://www.worldometers.info//img/flags/small/tn_vm-flag.gif
192,YEM,https://www.worldometers.info//img/flags/small/tn_ym-flag.gif
193,ZMB,https://www.worldometers.info//img/flags/small/tn_za-flag.gif
194,ZWE,https://www.worldometers.info//img/flags/small/tn_zi-flag.gif
